"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"205","Cortulua","Atl.Nacional",4,0,0.00014550203284122
"206","Cortulua","Atl.Nacional",4,1,0.000276418287089911
"207","Cortulua","Atl.Nacional",4,2,0.000273467287398059
"208","Cortulua","Atl.Nacional",4,3,0.000189941937584371
"209","Cortulua","Atl.Nacional",4,4,0.00144387419501331
"210","Cortulua","Atl.Nacional",4,5,4.67069673455283e-05
"211","Cortulua","Atl.Nacional",5,0,1.33564466120706e-05
"212","Cortulua","Atl.Nacional",5,1,2.49983376568111e-05
"213","Cortulua","Atl.Nacional",5,2,2.42951192593463e-05
"214","Cortulua","Atl.Nacional",5,3,1.68021919128665e-05
"215","Cortulua","Atl.Nacional",5,4,9.48128959500244e-06
"216","Cortulua","Atl.Nacional",5,5,0.000342074142654283
"217","Ind.Medellin","Dep.Pasto",0,0,0.0612187566895429
"218","Ind.Medellin","Dep.Pasto",0,1,0.053521613403619
"219","Ind.Medellin","Dep.Pasto",0,2,0.029985203891721
"220","Ind.Medellin","Dep.Pasto",0,3,0.0113221801112347
"221","Ind.Medellin","Dep.Pasto",0,4,0.00323648856209416
"222","Ind.Medellin","Dep.Pasto",0,5,0.000745973999998006
"223","Ind.Medellin","Dep.Pasto",1,0,0.0881410369121692
"224","Ind.Medellin","Dep.Pasto",1,1,0.117194418426301
"225","Ind.Medellin","Dep.Pasto",1,2,0.0577117189788234
"226","Ind.Medellin","Dep.Pasto",1,3,0.022089724468011
"227","Ind.Medellin","Dep.Pasto",1,4,0.00636134896360619
"228","Ind.Medellin","Dep.Pasto",1,5,0.00147055818680251
"229","Ind.Medellin","Dep.Pasto",2,0,0.0806515699250568
"230","Ind.Medellin","Dep.Pasto",2,1,0.0948155513558192
"231","Ind.Medellin","Dep.Pasto",2,2,0.0657848877541468
"232","Ind.Medellin","Dep.Pasto",2,3,0.021611348776803
"233","Ind.Medellin","Dep.Pasto",2,4,0.00629927059685878
"234","Ind.Medellin","Dep.Pasto",2,5,0.00146777086719624
"235","Ind.Medellin","Dep.Pasto",3,0,0.0494073200913633
"236","Ind.Medellin","Dep.Pasto",3,1,0.0594563677993586
"237","Ind.Medellin","Dep.Pasto",3,2,0.0355790177704162
"238","Ind.Medellin","Dep.Pasto",3,3,0.0183838749450292
"239","Ind.Medellin","Dep.Pasto",3,4,0.00418511677921665
"240","Ind.Medellin","Dep.Pasto",3,5,0.000988438136827401
"241","Ind.Medellin","Dep.Pasto",4,0,0.0227967347413962
"242","Ind.Medellin","Dep.Pasto",4,1,0.0279690363460644
"243","Ind.Medellin","Dep.Pasto",4,2,0.0170884024633057
"244","Ind.Medellin","Dep.Pasto",4,3,0.0069277503063224
"245","Ind.Medellin","Dep.Pasto",4,4,0.00343371480724706
"246","Ind.Medellin","Dep.Pasto",4,5,0.00050463104652695
"247","Ind.Medellin","Dep.Pasto",5,0,0.00845043274947207
"248","Ind.Medellin","Dep.Pasto",5,1,0.0105320012751713
"249","Ind.Medellin","Dep.Pasto",5,2,0.0065608329623793
"250","Ind.Medellin","Dep.Pasto",5,3,0.00271941214253306
"251","Ind.Medellin","Dep.Pasto",5,4,0.000842616809424063
"252","Ind.Medellin","Dep.Pasto",5,5,0.000544876958142542
"253","Millonarios","DeportesTolima",0,0,0.063703873807697
"254","Millonarios","DeportesTolima",0,1,0.0355658180113029
"255","Millonarios","DeportesTolima",0,2,0.0125462397274104
"256","Millonarios","DeportesTolima",0,3,0.00296303758447164
"257","Millonarios","DeportesTolima",0,4,0.000526841669019575
"258","Millonarios","DeportesTolima",0,5,7.51970770842883e-05
"259","Millonarios","DeportesTolima",1,0,0.112196548150473
"260","Millonarios","DeportesTolima",1,1,0.097839721115142
"261","Millonarios","DeportesTolima",1,2,0.0292701769359461
"262","Millonarios","DeportesTolima",1,3,0.0070234172247978
"263","Millonarios","DeportesTolima",1,4,0.00126244429072932
"264","Millonarios","DeportesTolima",1,5,0.000181427161919939
"265","Millonarios","DeportesTolima",2,0,0.124326773894811
"266","Millonarios","DeportesTolima",2,1,0.0924875045566347
"267","Millonarios","DeportesTolima",2,2,0.04466196951643
"268","Millonarios","DeportesTolima",2,3,0.00840519509646534
"269","Millonarios","DeportesTolima",2,4,0.00154135655297243
"270","Millonarios","DeportesTolima",2,5,0.000225266140204367
"271","Millonarios","DeportesTolima",3,0,0.0918820437563613
"272","Millonarios","DeportesTolima",3,1,0.0701767905363515
"273","Millonarios","DeportesTolima",3,2,0.0267311147147248
"274","Millonarios","DeportesTolima",3,3,0.0110933184834019
"275","Millonarios","DeportesTolima",3,4,0.00127782603895643
"276","Millonarios","DeportesTolima",3,5,0.000192220059938143
"277","Millonarios","DeportesTolima",4,0,0.0509486072977043
"278","Millonarios","DeportesTolima",4,1,0.0398919677517949
"279","Millonarios","DeportesTolima",4,2,0.0156743557248441
"280","Millonarios","DeportesTolima",4,3,0.00411073404234146
"281","Millonarios","DeportesTolima",4,4,0.00216700740830816
"282","Millonarios","DeportesTolima",4,5,0.000126617804542986
"283","Millonarios","DeportesTolima",5,0,0.0226100041692808
"284","Millonarios","DeportesTolima",5,1,0.0181228564856221
"285","Millonarios","DeportesTolima",5,2,0.00735705169256629
"286","Millonarios","DeportesTolima",5,3,0.00200989861190775
"287","Millonarios","DeportesTolima",5,4,0.000414109296448624
"288","Millonarios","DeportesTolima",5,5,0.000410667611393114
"289","Patriotas","Envigado",0,0,0.171735608596069
"290","Patriotas","Envigado",0,1,0.0825775131860603
"291","Patriotas","Envigado",0,2,0.0222158184231493
"292","Patriotas","Envigado",0,3,0.00409663594386015
"293","Patriotas","Envigado",0,4,0.000578519260547798
"294","Patriotas","Envigado",0,5,6.63599580701395e-05
"295","Patriotas","Envigado",1,0,0.191181293746864
"296","Patriotas","Envigado",1,1,0.127141002862334
"297","Patriotas","Envigado",1,2,0.0313652519243174
"298","Patriotas","Envigado",1,3,0.00588074256583507
"299","Patriotas","Envigado",1,4,0.000829356500106373
"300","Patriotas","Envigado",1,5,9.42403282726073e-05
"301","Patriotas","Envigado",2,0,0.116773167951541
"302","Patriotas","Envigado",2,1,0.0726744903687132
"303","Patriotas","Envigado",2,2,0.0322250333292019
"304","Patriotas","Envigado",2,3,0.00433585034365515
"305","Patriotas","Envigado",2,4,0.000628203062521601
"306","Patriotas","Envigado",2,5,7.20386608138009e-05
"307","Patriotas","Envigado",3,0,0.0482549276480092
"308","Patriotas","Envigado",3,1,0.0313673873886675
"309","Patriotas","Envigado",3,2,0.010161193554659
"310","Patriotas","Envigado",3,3,0.00638342430063835
"311","Patriotas","Envigado",3,4,0.000332444399833775
"312","Patriotas","Envigado",3,5,3.99995400184478e-05
"313","Patriotas","Envigado",4,0,0.0151599621665601
"314","Patriotas","Envigado",4,1,0.0100952095015129
