"","Home.Team","Away.Team","Goals H","Goals A","Probability","Game"
"227","LaEquidad","Aguilas",1,4,0.000226353939046915,7
"228","LaEquidad","Aguilas",1,5,1.80209452444393e-05,7
"229","LaEquidad","Aguilas",2,0,0.0938055115103458,7
"230","LaEquidad","Aguilas",2,1,0.0422686838982671,7
"231","LaEquidad","Aguilas",2,2,0.0200546144672262,7
"232","LaEquidad","Aguilas",2,3,0.00147846491200966,7
"233","LaEquidad","Aguilas",2,4,0.000158298229554682,7
"234","LaEquidad","Aguilas",2,5,1.30932125680114e-05,7
"235","LaEquidad","Aguilas",3,0,0.0253659528697759,7
"236","LaEquidad","Aguilas",3,1,0.0125005244873329,7
"237","LaEquidad","Aguilas",3,2,0.00353093238689049,7
"238","LaEquidad","Aguilas",3,3,0.00488983259562773,7
"239","LaEquidad","Aguilas",3,4,8.83457099800622e-05,7
"240","LaEquidad","Aguilas",3,5,8.58547616523281e-06,7
"241","LaEquidad","Aguilas",4,0,0.00518803993385536,7
"242","LaEquidad","Aguilas",4,1,0.00272016898075567,7
"243","LaEquidad","Aguilas",4,2,0.000905955015736717,7
"244","LaEquidad","Aguilas",4,3,0.000219053611910797,7
"245","LaEquidad","Aguilas",4,4,0.00136243833509067,7
"246","LaEquidad","Aguilas",4,5,4.61823699684178e-06,7
"247","LaEquidad","Aguilas",5,0,0.000855944174417213,7
"248","LaEquidad","Aguilas",5,1,0.000467615373778706,7
"249","LaEquidad","Aguilas",5,2,0.000178585713261817,7
"250","LaEquidad","Aguilas",5,3,5.36477862169998e-05,7
"251","LaEquidad","Aguilas",5,4,1.17998378256795e-05,7
"252","LaEquidad","Aguilas",5,5,0.000335472797004532,7
"253","OnceCaldas","Aguilas",0,0,0.273636763613483,8
"254","OnceCaldas","Aguilas",0,1,0.129097306164722,8
"255","OnceCaldas","Aguilas",0,2,0.0339541286728493,8
"256","OnceCaldas","Aguilas",0,3,0.00632964049076772,8
"257","OnceCaldas","Aguilas",0,4,0.000934580734913983,8
"258","OnceCaldas","Aguilas",0,5,0.000115327335809051,8
"259","OnceCaldas","Aguilas",1,0,0.190328438226004,8
"260","OnceCaldas","Aguilas",1,1,0.126891267997192,8
"261","OnceCaldas","Aguilas",1,2,0.032199025505291,8
"262","OnceCaldas","Aguilas",1,3,0.00632604706642796,8
"263","OnceCaldas","Aguilas",1,4,0.000949903348500705,8
"264","OnceCaldas","Aguilas",1,5,0.00011657469491276,8
"265","OnceCaldas","Aguilas",2,0,0.0711302213077931,8
"266","OnceCaldas","Aguilas",2,1,0.0462700336291268,8
"267","OnceCaldas","Aguilas",2,2,0.025603929987548,8
"268","OnceCaldas","Aguilas",2,3,0.00338066034909978,8
"269","OnceCaldas","Aguilas",2,4,0.000543711271696693,8
"270","OnceCaldas","Aguilas",2,5,6.88485658179588e-05,8
"271","OnceCaldas","Aguilas",3,0,0.0181786960801825,8
"272","OnceCaldas","Aguilas",3,1,0.0127540535924867,8
"273","OnceCaldas","Aguilas",3,2,0.00482556401796922,8
"274","OnceCaldas","Aguilas",3,3,0.00544622356638641,8
"275","OnceCaldas","Aguilas",3,4,0.000225499683678774,8
"276","OnceCaldas","Aguilas",3,5,3.16862836553006e-05,8
"277","OnceCaldas","Aguilas",4,0,0.00357377378503003,8
"278","OnceCaldas","Aguilas",4,1,0.00262820058729511,8
"279","OnceCaldas","Aguilas",4,2,0.00110014415074755,8
"280","OnceCaldas","Aguilas",4,3,0.000325553609829596,8
"281","OnceCaldas","Aguilas",4,4,0.0013959739129929,8
"282","OnceCaldas","Aguilas",4,5,1.17978526571117e-05,8
"283","OnceCaldas","Aguilas",5,0,0.000575694608659498,8
"284","OnceCaldas","Aguilas",5,1,0.000434212821746972,8
"285","OnceCaldas","Aguilas",5,2,0.000195671023167911,8
"286","OnceCaldas","Aguilas",5,3,6.64196831760768e-05,8
"287","OnceCaldas","Aguilas",5,4,1.7358453176446e-05,8
"288","OnceCaldas","Aguilas",5,5,0.000337067325206458,8
"289","SantaFe","Aguilas",0,0,0.286379432700847,9
"290","SantaFe","Aguilas",0,1,0.0957973179265831,9
"291","SantaFe","Aguilas",0,2,0.018019796250153,9
"292","SantaFe","Aguilas",0,3,0.0024200696781974,9
"293","SantaFe","Aguilas",0,4,0.000258124009373448,9
"294","SantaFe","Aguilas",0,5,2.29871616676402e-05,9
"295","SantaFe","Aguilas",1,0,0.229210403376591,9
"296","SantaFe","Aguilas",1,1,0.113086668628346,9
"297","SantaFe","Aguilas",1,2,0.0198922641926763,9
"298","SantaFe","Aguilas",1,3,0.00273519045232787,9
"299","SantaFe","Aguilas",1,4,0.000287784909579796,9
"300","SantaFe","Aguilas",1,5,2.48751427557647e-05,9
"301","SantaFe","Aguilas",2,0,0.0977086222588013,9
"302","SantaFe","Aguilas",2,1,0.045740806355296,9
"303","SantaFe","Aguilas",2,2,0.0212522805937393,9
"304","SantaFe","Aguilas",2,3,0.00172049207203801,9
"305","SantaFe","Aguilas",2,4,0.000192593332854765,9
"306","SantaFe","Aguilas",2,5,1.68314648651741e-05,9
"307","SantaFe","Aguilas",3,0,0.0282005835538149,9
"308","SantaFe","Aguilas",3,1,0.013916474314132,9
"309","SantaFe","Aguilas",3,2,0.00391197510540385,9
"310","SantaFe","Aguilas",3,3,0.00496522218245584,9
"311","SantaFe","Aguilas",3,4,9.9416932091029e-05,9
"312","SantaFe","Aguilas",3,5,9.84719933005349e-06,9
"313","SantaFe","Aguilas",4,0,0.00618563228273816,9
"314","SantaFe","Aguilas",4,1,0.0031203804617086,9
"315","SantaFe","Aguilas",4,2,0.000982628635183023,9
"316","SantaFe","Aguilas",4,3,0.000230040604401041,9
"317","SantaFe","Aguilas",4,4,0.0013641859750228,9
"318","SantaFe","Aguilas",4,5,4.83272552475331e-06,9
"319","SantaFe","Aguilas",5,0,0.00109754678981381,9
"320","SantaFe","Aguilas",5,1,0.000555435011408808,9
"321","SantaFe","Aguilas",5,2,0.000189239245949049,9
"322","SantaFe","Aguilas",5,3,5.30744143585144e-05,9
"323","SantaFe","Aguilas",5,4,1.14735961519762e-05,9
"324","SantaFe","Aguilas",5,5,0.000335470463818243,9
"325","Tigres","Aguilas",0,0,0.347285952028152,10
"326","Tigres","Aguilas",0,1,0.138570732763139,10
"327","Tigres","Aguilas",0,2,0.0302345724250202,10
"328","Tigres","Aguilas",0,3,0.00462370355297793,10
"329","Tigres","Aguilas",0,4,0.000554075562775567,10
"330","Tigres","Aguilas",0,5,5.50287368972463e-05,10
"331","Tigres","Aguilas",1,0,0.192031796757355,10
"332","Tigres","Aguilas",1,1,0.11602220155775,10
"333","Tigres","Aguilas",1,2,0.0241487060121983,10
"334","Tigres","Aguilas",1,3,0.00381041328150547,10
"335","Tigres","Aguilas",1,4,0.000451678996159791,10
"336","Tigres","Aguilas",1,5,4.34516804482648e-05,10
"337","Tigres","Aguilas",2,0,0.057101271925691,10
"338","Tigres","Aguilas",2,1,0.0322126065846715,10
"339","Tigres","Aguilas",2,2,0.0198216192850497,10
"340","Tigres","Aguilas",2,3,0.00180527177610552,10
"341","Tigres","Aguilas",2,4,0.000237004813006407,10
"342","Tigres","Aguilas",2,5,2.37658679521716e-05,10
"343","Tigres","Aguilas",3,0,0.0116238629459202,10
"344","Tigres","Aguilas",3,1,0.00665273499290779,10
"345","Tigres","Aguilas",3,2,0.00232807997383078,10
"346","Tigres","Aguilas",3,3,0.00479584058609852,10
"347","Tigres","Aguilas",3,4,9.73265166439521e-05,10
"348","Tigres","Aguilas",3,5,1.18201363522723e-05,10
"349","Tigres","Aguilas",4,0,0.00180844753925013,10
"350","Tigres","Aguilas",4,1,0.00101729883058791,10
"351","Tigres","Aguilas",4,2,0.000388482809389363,10
"352","Tigres","Aguilas",4,3,0.000122944767845386,10
"353","Tigres","Aguilas",4,4,0.00135349562620744,10
"354","Tigres","Aguilas",4,5,4.65555616463117e-06,10
"355","Tigres","Aguilas",5,0,0.000228018095037027,10
"356","Tigres","Aguilas",5,1,0.00012454159060783,10
"357","Tigres","Aguilas",5,2,4.91423318075076e-05,10
"358","Tigres","Aguilas",5,3,1.87344032398672e-05,10
"359","Tigres","Aguilas",5,4,5.83788429078183e-06,10
"360","Tigres","Aguilas",5,5,0.000334881806964308,10
"361","Bucaramanga","AmericaDeCali",0,0,0.20173508948025,11
"362","Bucaramanga","AmericaDeCali",0,1,0.133438092847934,11
"363","Bucaramanga","AmericaDeCali",0,2,0.0472570256444392,11
"364","Bucaramanga","AmericaDeCali",0,3,0.0111931359751282,11
"365","Bucaramanga","AmericaDeCali",0,4,0.00199464641900509,11
"366","Bucaramanga","AmericaDeCali",0,5,0.000285238811891676,11
"367","Bucaramanga","AmericaDeCali",1,0,0.164123433682886,11
"368","Bucaramanga","AmericaDeCali",1,1,0.140984992840243,11
"369","Bucaramanga","AmericaDeCali",1,2,0.0468272554836885,11
"370","Bucaramanga","AmericaDeCali",1,3,0.0116136465241489,11
"371","Bucaramanga","AmericaDeCali",1,4,0.002145062202692,11
"372","Bucaramanga","AmericaDeCali",1,5,0.000315239039005087,11
"373","Bucaramanga","AmericaDeCali",2,0,0.0714173218350341,11
"374","Bucaramanga","AmericaDeCali",2,1,0.057527055080245,11
"375","Bucaramanga","AmericaDeCali",2,2,0.0334483032384579,11
"376","Bucaramanga","AmericaDeCali",2,3,0.00625387758850459,11
"377","Bucaramanga","AmericaDeCali",2,4,0.00124990067001676,11
"378","Bucaramanga","AmericaDeCali",2,5,0.0001978670581074,11
"379","Bucaramanga","AmericaDeCali",3,0,0.020761605053921,11
"380","Bucaramanga","AmericaDeCali",3,1,0.017509697732177,11
"381","Bucaramanga","AmericaDeCali",3,2,0.0076749334205923,11
"382","Bucaramanga","AmericaDeCali",3,3,0.00651120968355138,11
"383","Bucaramanga","AmericaDeCali",3,4,0.000514235150151763,11
"384","Bucaramanga","AmericaDeCali",3,5,9.16664503088874e-05,11
"385","Bucaramanga","AmericaDeCali",4,0,0.0045357439615715,11
"386","Bucaramanga","AmericaDeCali",4,1,0.00396546561524164,11
"387","Bucaramanga","AmericaDeCali",4,2,0.00188105061301073,11
"388","Bucaramanga","AmericaDeCali",4,3,0.00063066791644629,11
"389","Bucaramanga","AmericaDeCali",4,4,0.00148772470431007,11
"390","Bucaramanga","AmericaDeCali",4,5,3.34090539048324e-05,11
"391","Bucaramanga","AmericaDeCali",5,0,0.000794233620357257,11
"392","Bucaramanga","AmericaDeCali",5,1,0.000713952217709468,11
"393","Bucaramanga","AmericaDeCali",5,2,0.000364973186364075,11
"394","Bucaramanga","AmericaDeCali",5,3,0.000137826907496468,11
"395","Bucaramanga","AmericaDeCali",5,4,4.09634338774018e-05,11
"396","Bucaramanga","AmericaDeCali",5,5,0.000343456857331148,11
"397","Cortulua","AmericaDeCali",0,0,0.0997117463415288,12
"398","Cortulua","AmericaDeCali",0,1,0.120946023818863,12
"399","Cortulua","AmericaDeCali",0,2,0.0842356632135983,12
"400","Cortulua","AmericaDeCali",0,3,0.0391662055464951,12
"401","Cortulua","AmericaDeCali",0,4,0.013676974855506,12
"402","Cortulua","AmericaDeCali",0,5,0.00382611891955808,12
